Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker THT, open 35, close 37, change 2, change% 5.71428571428571
year 2022, quarter 1, ticker TICR, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker TJW, open 15, close 14, change -1, change% -6.66666666666667
year 2022, quarter 1, ticker TKB, open 98, close 97, change -1, change% -1.02040816326531
year 2022, quarter 1, ticker TKK, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker TKP, open 121, close 129, change 8, change% 6.61157024793388
year 2022, quarter 1, ticker TLCG, open 42, close 43, change 1, change% 2.38095238095238
year 2022, quarter 1, ticker TLD, open 90, close 82, change -8, change% -8.88888888888889
year 2022, quarter 1, ticker TLE, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker TLT, open 49, close 48, change -1, change% -2.04081632653061
year 2022, quarter 1, ticker TLW, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker TLXP, open 9, close 8, change -1, change% -11.1111111111111
year 2022, quarter 1, ticker TMDU, open 46, close 46, change 0, change% 0
year 2022, quarter 1, ticker TME, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker TMK, open 15, close 18, change 3, change% 20
year 2022, quarter 1, ticker TNF, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker TPQ, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker TPZ, open 109, close 107, change -2, change% -1.8348623853211
year 2022, quarter 1, ticker TQC, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker TQN, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker TQOO, open 42, close 43, change 1, change% 2.38095238095238
year 2022, quarter 1, ticker TQQW, open 36, close 36, change 0, change% 0
year 2022, quarter 1, ticker TQVQ, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker TQW, open 91, close 89, change -2, change% -2.1978021978022
year 2022, quarter 1, ticker TSA, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker TSB, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker TSR, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker TSV, open 30, close 32, change 2, change% 6.66666666666667
year 2022, quarter 1, ticker TSY, open 93, close 92, change -1, change% -1.0752688172043
year 2022, quarter 1, ticker TTA, open 14, close 16, change 2, change% 14.2857142857143
year 2022, quarter 1, ticker TTQ, open 69, close 64, change -5, change% -7.2463768115942
year 2022, quarter 1, ticker TTW, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker TUGJ, open 60, close 59, change -1, change% -1.66666666666667
year 2022, quarter 1, ticker TUJ, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker TUTI, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker TVB, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker TVD, open 55, close 56, change 1, change% 1.81818181818182
year 2022, quarter 1, ticker TVL, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker TVR, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker TWE, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker TWJ, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker TXI, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker TXV, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker TXW, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker TZA, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker TZL, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker TZSN, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker UAPQ, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker UAQ, open 41, close 41, change 0, change% 0
year 2022, quarter 1, ticker UBBA, open 151, close 148, change -3, change% -1.98675496688742
year 2022, quarter 1, ticker UBWU, open 6, close 7, change 1, change% 16.6666666666667
year 2022, quarter 1, ticker UCP, open 59, close 61, change 2, change% 3.38983050847458
year 2022, quarter 1, ticker UCQ, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker UCY, open 3, close 4, change 1, change% 33.3333333333333
year 2022, quarter 1, ticker UDD, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker UDFW, open 116, close 118, change 2, change% 1.72413793103448
year 2022, quarter 1, ticker UDH, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker UDKD, open 210, close 219, change 9, change% 4.28571428571429
year 2022, quarter 1, ticker UDV, open 103, close 103, change 0, change% 0
year 2022, quarter 1, ticker UED, open 20, close 21, change 1, change% 5
year 2022, quarter 1, ticker UFF, open 89, close 84, change -5, change% -5.61797752808989
year 2022, quarter 1, ticker UFN, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker UFOP, open 23, close 20, change -3, change% -13.0434782608696
year 2022, quarter 1, ticker UFP, open 38, close 37, change -1, change% -2.63157894736842
year 2022, quarter 1, ticker UHHP, open 73, close 77, change 4, change% 5.47945205479452
year 2022, quarter 1, ticker UHND, open 7, close 9, change 2, change% 28.5714285714286
year 2022, quarter 1, ticker UIE, open 62, close 54, change -8, change% -12.9032258064516
year 2022, quarter 1, ticker UIM, open 156, close 144, change -12, change% -7.69230769230769
year 2022, quarter 1, ticker UIRC, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker UJDU, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker UJS, open 94, close 91, change -3, change% -3.19148936170213
year 2022, quarter 1, ticker UKH, open 51, close 49, change -2, change% -3.92156862745098
year 2022, quarter 1, ticker UKN, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker UKP, open 28, close 27, change -1, change% -3.57142857142857
year 2022, quarter 1, ticker UMA, open 55, close 55, change 0, change% 0
year 2022, quarter 1, ticker UMK, open 60, close 55, change -5, change% -8.33333333333333
year 2022, quarter 1, ticker UMN, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker UNHK, open 45, close 46, change 1, change% 2.22222222222222
year 2022, quarter 1, ticker UOD, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker UOM, open 93, close 94, change 1, change% 1.0752688172043
year 2022, quarter 1, ticker UOS, open 116, close 116, change 0, change% 0
year 2022, quarter 1, ticker UPA, open 103, close 111, change 8, change% 7.76699029126214
year 2022, quarter 1, ticker UPF, open 50, close 49, change -1, change% -2
year 2022, quarter 1, ticker UPSC, open 61, close 62, change 1, change% 1.63934426229508
year 2022, quarter 1, ticker UQQC, open 40, close 41, change 1, change% 2.5
year 2022, quarter 1, ticker URR, open 41, close 40, change -1, change% -2.4390243902439
year 2022, quarter 1, ticker USB, open 68, close 65, change -3, change% -4.41176470588235
year 2022, quarter 1, ticker USHD, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker USO, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker USXV, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker UTO, open 29, close 30, change 1, change% 3.44827586206897
year 2022, quarter 1, ticker UTPX, open 48, close 49, change 1, change% 2.08333333333333
year 2022, quarter 1, ticker UU, open 159, close 152, change -7, change% -4.40251572327044
year 2022, quarter 1, ticker UV, open 34, close 36, change 2, change% 5.88235294117647
year 2022, quarter 1, ticker UVDD, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker UVLI, open 40, close 38, change -2, change% -5
year 2022, quarter 1, ticker UW, open 51, close 53, change 2, change% 3.92156862745098
year 2022, quarter 1, ticker UWGF, open 17, close 23, change 6, change% 35.2941176470588
year 2022, quarter 1, ticker UWH, open 67, close 69, change 2, change% 2.98507462686567
year 2022, quarter 1, ticker UWI, open 62, close 61, change -1, change% -1.61290322580645
year 2022, quarter 1, ticker UWY, open 64, close 61, change -3, change% -4.6875
year 2022, quarter 1, ticker UXES, open 59, close 60, change 1, change% 1.69491525423729
year 2022, quarter 1, ticker UYN, open 51, close 56, change 5, change% 9.80392156862745
year 2022, quarter 1, ticker UYQ, open 27, close 23, change -4, change% -14.8148148148148
year 2022, quarter 1, ticker UYR, open 91, close 89, change -2, change% -2.1978021978022
year 2022, quarter 1, ticker UYS, open 31, close 32, change 1, change% 3.2258064516129
year 2022, quarter 1, ticker UYX, open 67, close 59, change -8, change% -11.9402985074627
year 2022, quarter 1, ticker UYYI, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker UZAK, open 37, close 37, change 0, change% 0
year 2022, quarter 1, ticker UZKS, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker UZY, open 60, close 59, change -1, change% -1.66666666666667
year 2022, quarter 1, ticker VBNV, open 19, close 18, change -1, change% -5.26315789473684
year 2022, quarter 1, ticker VBQ, open 29, close 31, change 2, change% 6.89655172413793
year 2022, quarter 1, ticker VBU, open 26, close 25, change -1, change% -3.84615384615385
year 2022, quarter 1, ticker VBX, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker VCLM, open 38, close 40, change 2, change% 5.26315789473684
year 2022, quarter 1, ticker VCVX, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker VCYC, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker VDI, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker VDP, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker VDR, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker VDV, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker VF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker VFA, open 40, close 41, change 1, change% 2.5
year 2022, quarter 1, ticker VFJ, open 29, close 30, change 1, change% 3.44827586206897
year 2022, quarter 1, ticker VFP, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker VGK, open 31, close 30, change -1, change% -3.2258064516129
year 2022, quarter 1, ticker VHG, open 86, close 86, change 0, change% 0
year 2022, quarter 1, ticker VIBF, open 44, close 44, change 0, change% 0
year 2022, quarter 1, ticker VJOI, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker VJP, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker VKEF, open 114, close 115, change 1, change% 0.87719298245614
year 2022, quarter 1, ticker VKS, open 38, close 35, change -3, change% -7.89473684210526
year 2022, quarter 1, ticker VKU, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker VLI, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker VLU, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker VM, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker VMA, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker VMAP, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker VMD, open 39, close 39, change 0, change% 0
year 2022, quarter 1, ticker VME, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker VMK, open 68, close 67, change -1, change% -1.47058823529412
year 2022, quarter 1, ticker VMU, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker VNF, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker VNG, open 37, close 8, change -29, change% -78.3783783783784
year 2022, quarter 1, ticker VOB, open 25, close 28, change 3, change% 12
year 2022, quarter 1, ticker VOKE, open 41, close 40, change -1, change% -2.4390243902439
year 2022, quarter 1, ticker VOO, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker VOT, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker VPE, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker VPG, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker VPL, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker VPM, open 76, close 92, change 16, change% 21.0526315789474
year 2022, quarter 1, ticker VQIT, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker VQO, open 17, close 18, change 1, change% 5.88235294117647
year 2022, quarter 1, ticker VQPE, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker VQV, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker VRD, open 58, close 57, change -1, change% -1.72413793103448
year 2022, quarter 1, ticker VRH, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker VRJ, open 33, close 32, change -1, change% -3.03030303030303
year 2022, quarter 1, ticker VRL, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker VRZ, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker VSM, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker VTX, open 104, close 104, change 0, change% 0
year 2022, quarter 1, ticker VUL, open 50, close 49, change -1, change% -2
year 2022, quarter 1, ticker VVB, open 23, close 22, change -1, change% -4.34782608695652
year 2022, quarter 1, ticker VVH, open 122, close 118, change -4, change% -3.27868852459016
year 2022, quarter 1, ticker VW, open 62, close 60, change -2, change% -3.2258064516129
year 2022, quarter 1, ticker VWA, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker VWC, open 43, close 44, change 1, change% 2.32558139534884
year 2022, quarter 1, ticker VWV, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker VX, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker VXB, open 40, close 43, change 3, change% 7.5
year 2022, quarter 1, ticker VXX, open 93, close 94, change 1, change% 1.0752688172043
year 2022, quarter 1, ticker VYIK, open 21, close 23, change 2, change% 9.52380952380952
year 2022, quarter 1, ticker VYO, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker VYR, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker VZN, open 18, close 20, change 2, change% 11.1111111111111
year 2022, quarter 1, ticker VZZQ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker WBC, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker WBI, open 128, close 122, change -6, change% -4.6875
year 2022, quarter 1, ticker WBS, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker WBZN, open 39, close 40, change 1, change% 2.56410256410256
year 2022, quarter 1, ticker WCF, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker WCRX, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker WCW, open 36, close 35, change -1, change% -2.77777777777778
year 2022, quarter 1, ticker WDV, open 39, close 39, change 0, change% 0
year 2022, quarter 1, ticker WEP, open 55, close 55, change 0, change% 0
year 2022, quarter 1, ticker WFD, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker WFW, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker WIA, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker WIHI, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker WIJ, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker WJB, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker WKA, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker WKAV, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker WKB, open 2, close 3, change 1, change% 50
year 2022, quarter 1, ticker WKG, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker WKS, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker WLC, open 51, close 54, change 3, change% 5.88235294117647
year 2022, quarter 1, ticker WLX, open 1, close 1, change 0, change% 0
year 2022, quarter 1, ticker WMA, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker WMH, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker WMU, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker WNT, open 23, close 22, change -1, change% -4.34782608695652
year 2022, quarter 1, ticker WOJ, open 42, close 41, change -1, change% -2.38095238095238
year 2022, quarter 1, ticker WOV, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker WOWY, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker WOX, open 31, close 30, change -1, change% -3.2258064516129
year 2022, quarter 1, ticker WQA, open 65, close 65, change 0, change% 0
year 2022, quarter 1, ticker WQDG, open 19, close 17, change -2, change% -10.5263157894737
year 2022, quarter 1, ticker WQY, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker WRB, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker WSJ, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker WSLJ, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker WSWY, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker WTRO, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker WW, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker WWF, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker WWG, open 23, close 26, change 3, change% 13.0434782608696
year 2022, quarter 1, ticker WWJF, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker WWSS, open 136, close 132, change -4, change% -2.94117647058824
year 2022, quarter 1, ticker WWT, open 80, close 80, change 0, change% 0
year 2022, quarter 1, ticker WXE, open 82, close 83, change 1, change% 1.21951219512195
year 2022, quarter 1, ticker WYJ, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker WYR, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker WYT, open 17, close 18, change 1, change% 5.88235294117647
year 2022, quarter 1, ticker WYZ, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker WZH, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker WZPL, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker XA, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker XAE, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker XAF, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker XAVZ, open 92, close 86, change -6, change% -6.52173913043478
year 2022, quarter 1, ticker XBE, open 39, close 41, change 2, change% 5.12820512820513
year 2022, quarter 1, ticker XBQC, open 39, close 40, change 1, change% 2.56410256410256
year 2022, quarter 1, ticker XBU, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker XBVY, open 3, close 2, change -1, change% -33.3333333333333
year 2022, quarter 1, ticker XBY, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker XCF, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker XDX, open 85, close 86, change 1, change% 1.17647058823529
year 2022, quarter 1, ticker XEL, open 66, close 76, change 10, change% 15.1515151515152
year 2022, quarter 1, ticker XEO, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker XEU, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker XEW, open 31, close 28, change -3, change% -9.67741935483871
year 2022, quarter 1, ticker XFC, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker XFI, open 137, close 137, change 0, change% 0
year 2022, quarter 1, ticker XFPQ, open 93, close 93, change 0, change% 0
year 2022, quarter 1, ticker XFR, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker XGD, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker XGP, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker XGPU, open 55, close 56, change 1, change% 1.81818181818182
year 2022, quarter 1, ticker XGX, open 108, close 100, change -8, change% -7.40740740740741
year 2022, quarter 1, ticker XIM, open 71, close 72, change 1, change% 1.40845070422535
year 2022, quarter 1, ticker XJ, open 14, close 18, change 4, change% 28.5714285714286
year 2022, quarter 1, ticker XKG, open 60, close 61, change 1, change% 1.66666666666667
year 2022, quarter 1, ticker XKHH, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker XKS, open 66, close 67, change 1, change% 1.51515151515152
year 2022, quarter 1, ticker XKTL, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker XLH, open 127, close 125, change -2, change% -1.5748031496063
year 2022, quarter 1, ticker XLOV, open 96, close 97, change 1, change% 1.04166666666667
year 2022, quarter 1, ticker XMT, open 50, close 51, change 1, change% 2
year 2022, quarter 1, ticker XN, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker XNU, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker XOJ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker XOL, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker XOO, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker XOU, open 157, close 155, change -2, change% -1.27388535031847
year 2022, quarter 1, ticker XPF, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker XPJ, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker XPW, open 57, close 60, change 3, change% 5.26315789473684
year 2022, quarter 1, ticker XQG, open 62, close 62, change 0, change% 0
year 2022, quarter 1, ticker XQI, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker XQJ, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker XRA, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker XRM, open 56, close 51, change -5, change% -8.92857142857143
year 2022, quarter 1, ticker XRZ, open 74, close 73, change -1, change% -1.35135135135135
year 2022, quarter 1, ticker XSQ, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker XTD, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker XTI, open 56, close 62, change 6, change% 10.7142857142857
year 2022, quarter 1, ticker XVY, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker XWH, open 178, close 173, change -5, change% -2.80898876404494
year 2022, quarter 1, ticker XWMU, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker XWN, open 37, close 37, change 0, change% 0
year 2022, quarter 1, ticker XXE, open 32, close 32, change 0, change% 0
year 2022, quarter 1, ticker XXQS, open 98, close 94, change -4, change% -4.08163265306122
year 2022, quarter 1, ticker XXT, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker XXWB, open 32, close 32, change 0, change% 0
year 2022, quarter 1, ticker XYJ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker XZO, open 97, close 100, change 3, change% 3.09278350515464
year 2022, quarter 1, ticker XZPX, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker XZR, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker YASW, open 82, close 86, change 4, change% 4.8780487804878
year 2022, quarter 1, ticker YBD, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker YBM, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker YCE, open 23, close 25, change 2, change% 8.69565217391304
year 2022, quarter 1, ticker YCQ, open 110, close 109, change -1, change% -0.909090909090909
year 2022, quarter 1, ticker YDA, open 36, close 34, change -2, change% -5.55555555555556
year 2022, quarter 1, ticker YEI, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker YEQ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker YFRG, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker YFTM, open 27, close 29, change 2, change% 7.40740740740741
year 2022, quarter 1, ticker YFW, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker YGB, open 49, close 44, change -5, change% -10.2040816326531
year 2022, quarter 1, ticker YGH, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker YH, open 19, close 17, change -2, change% -10.5263157894737
year 2022, quarter 1, ticker YHA, open 48, close 45, change -3, change% -6.25
year 2022, quarter 1, ticker YHO, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker YJ, open 40, close 40, change 0, change% 0
year 2022, quarter 1, ticker YK, open 52, close 53, change 1, change% 1.92307692307692
year 2022, quarter 1, ticker YKC, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker YKCX, open 27, close 28, change 1, change% 3.7037037037037
year 2022, quarter 1, ticker YKQ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker YKV, open 78, close 83, change 5, change% 6.41025641025641
year 2022, quarter 1, ticker YKX, open 49, close 49, change 0, change% 0
year 2022, quarter 1, ticker YL, open 42, close 35, change -7, change% -16.6666666666667
year 2022, quarter 1, ticker YLC, open 38, close 44, change 6, change% 15.7894736842105
year 2022, quarter 1, ticker YLP, open 33, close 33, change 0, change% 0
year 2022, quarter 1, ticker YLV, open 107, close 102, change -5, change% -4.67289719626168
year 2022, quarter 1, ticker YLZ, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker YMM, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker YMTL, open 32, close 29, change -3, change% -9.375
year 2022, quarter 1, ticker YMW, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker YOKN, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker YPD, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker YPF, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker YPYK, open 74, close 78, change 4, change% 5.40540540540541
year 2022, quarter 1, ticker YQC, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker YQW, open 34, close 38, change 4, change% 11.7647058823529
year 2022, quarter 1, ticker YRG, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker YRH, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker YRN, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker YSA, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker YSD, open 57, close 60, change 3, change% 5.26315789473684
year 2022, quarter 1, ticker YST, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker YSTP, open 26, close 28, change 2, change% 7.69230769230769
year 2022, quarter 1, ticker YSU, open 49, close 49, change 0, change% 0
year 2022, quarter 1, ticker YTT, open 35, close 37, change 2, change% 5.71428571428571
year 2022, quarter 1, ticker YUVY, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker YVC, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker YVIN, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker YVQZ, open 268, close 276, change 8, change% 2.98507462686567
year 2022, quarter 1, ticker YWD, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker YWM, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker YWV, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker YXD, open 53, close 47, change -6, change% -11.3207547169811
year 2022, quarter 1, ticker YXG, open 60, close 60, change 0, change% 0
year 2022, quarter 1, ticker YYAF, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker YYD, open 27, close 25, change -2, change% -7.40740740740741
year 2022, quarter 1, ticker YZ, open 24, close 25, change 1, change% 4.16666666666667
year 2022, quarter 1, ticker YZJ, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker YZT, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker ZAQ, open 15, close 14, change -1, change% -6.66666666666667
year 2022, quarter 1, ticker ZBR, open 58, close 60, change 2, change% 3.44827586206897
year 2022, quarter 1, ticker ZBV, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker ZCE, open 40, close 39, change -1, change% -2.5
year 2022, quarter 1, ticker ZCJ, open 5, close 6, change 1, change% 20
year 2022, quarter 1, ticker ZCQ, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker ZCW, open 16, close 18, change 2, change% 12.5
year 2022, quarter 1, ticker ZDL, open 42, close 41, change -1, change% -2.38095238095238
year 2022, quarter 1, ticker ZDPW, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker ZEU, open 9, close 9, change 0, change% 0
